onset	duration	trial_type	response_time	word	gender	age	sub	ses	task	run	year	month	day	hour	minute	concreteness	con	trial_type1
7.307854600250721	0.6743863001465797	image_neg	0.4750498002395034	rumor	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.15	abstract	image_neg
17.304859099909663	0.6774423997849226	image_pos	0.4278295999392867	river	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.89	concrete	image_pos
24.697036099620163	0.6854231003671885	image_pos	0.4190667001530528	handshake	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.52	abstract	image_pos
37.2977617001161	0.6847700998186994	image_pos	0.6354056000709534	bugle	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.84	concrete	image_pos
47.29748539999128	0.6849929997697402	image_pos	0.602254600264132	chair	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.58	concrete	image_pos
57.30512630008161	0.677470000460751	image_pos	0.6113221999257803	home	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.11	abstract	image_pos
64.69707230012864	0.6856420002877712	image_pos	0.5527604995295405	elm	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.69	concrete	image_pos
74.70673449989408	0.6760408999398351	image_neg	0.5431310003623366	law	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.57	abstract	image_neg
84.70658260025084	0.6763413995504379	image_pos	0.3599966997280717	blueberry	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.96	concrete	image_pos
94.69696480035782	0.68608189933002	image_pos	0.6362685998901725	camera	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	5	concrete	image_pos
104.7084891004488	0.6744885994121148	image_neg	0.4415670000016689	bee	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.88	concrete	image_neg
117.30883890017869	0.6742938002571321	image_neg	0.4413708001375198	lawyer	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.7	concrete	image_neg
124.69701249990612	0.6860531000420309	image_neg	0.5868129003793001	woe	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.96	abstract	image_neg
134.6981878997758	0.6851399000734091	image_neg	0.568966000340879	old	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.72	abstract	image_neg
147.29897040035576	0.6842563999816775	image_neg	0.5514521999284625	gunshot	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.93	concrete	image_neg
154.706736699678	0.6766935000196099	image_neg	0.4436556007713079	funeral	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.83	abstract	image_neg
164.70977060031146	0.6736213993281126	image_pos	0.4574967995285988	honeymoon	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.59	abstract	image_pos
177.30907739978284	0.6745027005672455	image_neg	0.5917575005441904	table	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.9	concrete	image_neg
187.30643680039796	0.67728769965467	image_pos	0.6108885994181037	chipmunk	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.97	concrete	image_pos
197.3085912996903	0.6752904001623392	image_neg	0.4922583000734448	role	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.19	abstract	image_neg
207.3081454001367	0.6756036998704076	image_neg	0.6092918999493122	comb	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	5	concrete	image_neg
217.30729980021715	0.6766026997938752	image_neg	0.3602857002988457	protest	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.21	abstract	image_neg
227.29980549961329	0.6841054009273648	image_neg	0.5678191008046269	medicine	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.79	concrete	image_neg
234.6977311000228	0.6861544996500015	image_neg	0.4200999001041055	guilt	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.93	abstract	image_neg
247.30907789990303	0.6748965997249172	image_neg	0.4421234000474214	analogy	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.61	abstract	image_neg
254.7064324002713	0.6776871997863054	image_pos	0.4447376001626253	sun	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.83	concrete	image_pos
267.3073046002537	0.6768276998773217	image_pos	0.3605838995426893	party	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.89	abstract	image_pos
274.7073902999982	0.6767694000154734	image_neg	0.4940319005399942	prison	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.68	concrete	image_neg
287.3085954999551	0.6757196001709076	image_neg	0.3764752997085452	crow	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.93	concrete	image_neg
294.70822789985687	0.6761174006387591	image_pos	0.4933209000155329	parade	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.54	abstract	image_pos
